ID,Class_ID,Level,Timestamp,Creator_ID,Prize,Defender_Value,Attacker_Value,Coverage_Goal,Mutant_Goal,Attackers_Needed,Defenders_Needed,Start_Time,Finish_Time,MaxAssertionsPerTest,MutantValidator,ChatEnabled,Attackers_Limit,Defenders_Limit,State,CurrentRound,FinalRound,ActiveRole,Mode,RequiresValidation,IsAIDummyGame,HasKillMap,CapturePlayersIntention,Puzzle_ID,EquivalenceThreshold,Game_Duration_Minutes,Classroom_ID,Invite_Only,May_Choose_Role
159,102,HARD,2026-04-12 09:06:30,103,1,100,100,1,1,0,0,2026-04-12 09:06:30,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
160,101,HARD,2026-04-12 09:36:41,103,1,100,100,1,1,0,0,2026-04-12 09:36:41,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
161,102,HARD,2026-04-12 09:36:41,103,1,100,100,1,1,0,0,2026-04-12 09:36:41,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
162,101,HARD,2026-04-17 23:56:32,103,1,100,100,1,1,0,0,2026-04-17 23:56:32,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
163,101,HARD,2026-04-17 23:56:32,103,1,100,100,1,1,0,0,2026-04-17 23:56:32,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
164,102,HARD,2026-04-17 23:56:32,103,1,100,100,1,1,0,0,2026-04-17 23:56:32,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
165,101,HARD,2026-04-18 00:04:14,103,1,100,100,1,1,0,0,2026-04-18 00:04:14,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
166,101,HARD,2026-04-18 00:04:14,103,1,100,100,1,1,0,0,2026-04-18 00:04:14,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
167,102,HARD,2026-04-18 00:04:14,103,1,100,100,1,1,0,0,2026-04-18 00:04:14,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
168,102,HARD,2026-04-18 00:26:43,103,1,100,100,1,1,0,0,2026-04-18 00:26:43,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
169,101,HARD,2026-04-18 00:26:43,103,1,100,100,1,1,0,0,2026-04-18 00:26:43,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
170,101,HARD,2026-04-18 00:26:43,103,1,100,100,1,1,0,0,2026-04-18 00:26:43,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
171,101,HARD,2026-04-18 00:34:35,103,1,100,100,1,1,0,0,2026-04-18 00:34:35,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
172,102,HARD,2026-04-18 00:34:35,103,1,100,100,1,1,0,0,2026-04-18 00:34:35,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
173,102,HARD,2026-04-18 00:56:53,103,1,100,100,1,1,0,0,2026-04-18 00:56:54,1970-02-02 01:01:01,2,MODERATE,1,0,0,FINISHED,1,5,ATTACKER,PARTY,0,0,0,0,,0,45,,0,1
